stim1,stim2,stim3
145,她们上个月到底代理了什么总统?,+
146,什么总统她们上个月到底代理了?,-
147,他们上个月究竟调查了什么事故?,+
148,什么事故他们上个月究竟调查了?,-
149,你们上个月到底事关了什么大选?,+
150,什么大选你们上个月到底事关了?,-
151,你们上个月究竟覆盖了什么地区?,+
152,什么地区你们上个月究竟覆盖了?,-
153,他们上个月究竟符合了什么政策?,+
154,什么政策他们上个月究竟符合了?,-
155,她们上个月到底尊重了什么主权?,+
156,什么主权她们上个月到底尊重了?,-
157,她昨天到底勉励促进了什么情理?,+
158,什么情理她昨天到底勉励促进了?,-
159,他们上个月到底崇尚了什么权力?,+
160,什么权力他们上个月到底崇尚了?,-
161,她上个月到底加速建立了什么法?,+
162,什么法她上个月到底加速建立了?,-
163,她上个月究竟交还给了什么统计员?,+
164,什么统计员她上个月究竟交还给了?,-
165,他们上个月到底彰显了什么国威?,+
166,什么国威他们上个月到底彰显了?,-
167,她们上个月究竟招收了什么学生?,+
168,什么学生她们上个月究竟招收了?,-
169,你们上个月到底奢望了什么彩虹?,+
170,什么彩虹你们上个月到底奢望了?,-
171,你们上周究竟篡改伪造了什么病志?,+
172,什么病志你们上周究竟篡改伪造了?,-
173,她们上周究竟组织召开了什么国际?,+
174,什么国际她们上周究竟组织召开了?,-
175,你们上个月究竟重启了什么山门?,+
176,什么山门你们上个月究竟重启了?,-
177,你们上周到底看一看了什么监护?,+
178,什么监护你们上周到底看一看了?,-
179,她们上个月究竟捕捉了什么鲣鱼?,+
180,什么鲣鱼她们上个月究竟捕捉了?,-
181,他们上个月到底处理了什么案件?,+
182,什么案件他们上个月到底处理了?,-
183,她们去年究竟frame了什么论文?,+
184,什么论文她们去年究竟frame了?,-
185,他们上个月究竟讨回了什么公道?,+
186,什么公道他们上个月究竟讨回了?,-
187,你们上个月究竟续上了什么关系?,+
188,什么关系你们上个月究竟续上了?,-
189,你们上个月究竟恢复了什么稳定?,+
190,什么稳定你们上个月究竟恢复了?,-
191,她们上个月到底接送了什么眷属?,+
192,什么眷属她们上个月到底接送了?,-
193,她们上个月究竟带给了什么世界?,+
194,什么世界她们上个月究竟带给了?,-
195,她们上个月到底叫做了什么护卫舰?,+
196,什么护卫舰她们上个月到底叫做了?,-
197,他们昨天到底advance了什么问题?,+
198,什么问题他们昨天到底advance了?,-
199,你们上个月到底迫害了什么人士?,+
200,什么人士你们上个月到底迫害了?,-
201,她们上个月到底精研了什么艺术?,+
202,什么艺术她们上个月到底精研了?,-
203,他们去年究竟安慰安慰了什么师兄?,+
204,什么师兄他们去年究竟安慰安慰了?,-
205,他们上个月到底满怀了什么诚心?,+
206,什么诚心他们上个月到底满怀了?,-
207,她们上个月到底开立了什么户头?,+
208,什么户头她们上个月到底开立了?,-
209,她们上个月究竟触犯了什么法律?,+
210,什么法律她们上个月究竟触犯了?,-
211,他们上个月到底戒掉了什么毒瘾?,+
212,什么毒瘾他们上个月到底戒掉了?,-
213,他们上个月究竟遭遇了什么损害?,+
214,什么损害他们上个月究竟遭遇了?,-
215,他们上个月究竟行使了什么主权?,+
216,什么主权他们上个月究竟行使了?,-
217,你们上个月到底撞进了什么火里?,+
218,什么火里你们上个月到底撞进了?,-
219,他们上个月究竟构成了什么危胁?,+
220,什么危胁他们上个月究竟构成了?,-
221,你们上个月到底正行了什么访问?,+
222,什么访问你们上个月到底正行了?,-
223,他们上个月到底推动了什么进程?,+
224,什么进程他们上个月到底推动了?,-
225,她们上个月到底考察了什么地段?,+
226,什么地段她们上个月到底考察了?,-
227,你们上个月究竟引发了什么气爆?,+
228,什么气爆你们上个月究竟引发了?,-
229,你们上个月究竟适应了什么形势?,+
230,什么形势你们上个月究竟适应了?,-
231,他们上个月究竟堵塞了什么通道?,+
232,什么通道他们上个月究竟堵塞了?,-
233,他们去年究竟采用显色了什么系统?,+
234,什么系统他们去年究竟采用显色了?,-
235,她们上个月到底操纵了什么组织?,+
236,什么组织她们上个月到底操纵了?,-
237,你们上周到底派发给了什么参观者?,+
238,什么参观者你们上周到底派发给了?,-
239,她们上个月到底扩大了什么开放?,+
240,什么开放她们上个月到底扩大了?,-
241,她们上个月到底占据了什么地位?,+
242,什么地位她们上个月到底占据了?,-
243,她们上个月究竟破坏了什么名誉?,+
244,什么名誉她们上个月究竟破坏了?,-
245,你们上个月到底粉饰成了什么大灰狼?,+
246,什么大灰狼你们上个月到底粉饰成了?,-
247,他们上个月到底喜欢了什么3D?,+
248,什么3D他们上个月到底喜欢了?,-
249,她们上个月到底减少了什么刑期?,+
250,什么刑期她们上个月到底减少了?,-
251,他们上个月到底找找了什么团购?,+
252,什么团购他们上个月到底找找了?,-
253,他们上个月到底回答了什么问题?,+
254,什么问题他们上个月到底回答了?,-
255,她们上个月到底淡忘了什么思潮?,+
256,什么思潮她们上个月到底淡忘了?,-
257,她们上个月究竟关心了什么制度?,+
258,什么制度她们上个月究竟关心了?,-
259,你们昨天究竟实行否决了什么制度?,+
260,什么制度你们昨天究竟实行否决了?,-
261,他们上个月究竟进入了什么年代?,+
262,什么年代他们上个月究竟进入了?,-
263,你们上个月究竟搬离了什么中心?,+
264,什么中心你们上个月究竟搬离了?,-
265,她们上个月到底困守了什么围城?,+
266,什么围城她们上个月到底困守了?,-
267,她们上个月究竟偏向了什么描述?,+
268,什么描述她们上个月究竟偏向了?,-
269,他们上个月到底漠视了什么人权?,+
270,什么人权他们上个月到底漠视了?,-
271,你们上个月到底取消了什么禁飞区?,+
272,什么禁飞区你们上个月到底取消了?,-
273,她们上个月到底补贴了什么道路?,+
274,什么道路她们上个月到底补贴了?,-
275,她们上个月究竟卷入了什么东西?,+
276,什么东西她们上个月究竟卷入了?,-
277,他们上个月究竟悬挂了什么彩图?,+
278,什么彩图他们上个月究竟悬挂了?,-
279,你们上个月究竟经营了什么道路?,+
280,什么道路你们上个月究竟经营了?,-
281,他们上个月到底临患了什么末期?,+
282,什么末期他们上个月到底临患了?,-
283,他们上个月究竟扩大了什么市场?,+
284,什么市场他们上个月究竟扩大了?,-
285,她们上个月到底击落了什么飞机?,+
286,什么飞机她们上个月到底击落了?,-
287,她们上个月到底关注了什么灾区?,+
288,什么灾区她们上个月到底关注了?,-
289,她们上个月到底湮灭了什么证据?,+
290,什么证据她们上个月到底湮灭了?,-
291,她们去年到底荒废成了什么垃圾场?,+
292,什么垃圾场她们去年到底荒废成了?,-
293,她们上个月到底报道了什么新闻?,+
294,什么新闻她们上个月到底报道了?,-
295,你们上个月究竟附带了什么光盘?,+
296,什么光盘你们上个月究竟附带了?,-
297,她们上个月究竟推翻了什么王朝?,+
298,什么王朝她们上个月究竟推翻了?,-
299,她们上个月究竟宣扬了什么歧视?,+
300,什么歧视她们上个月究竟宣扬了?,-
301,你们上个月究竟聯繫了什么室友?,+
302,什么室友你们上个月究竟聯繫了?,-
303,你们上个月究竟稳稳了什么步子?,+
304,什么步子你们上个月究竟稳稳了?,-
305,他们上个月到底设置了什么邮箱?,+
306,什么邮箱他们上个月到底设置了?,-
307,你们上个月究竟支领了什么薪资?,+
308,什么薪资你们上个月究竟支领了?,-
309,你们上个月到底加密了什么航线?,+
310,什么航线你们上个月到底加密了?,-
311,她们上个月到底聘用了什么人才?,+
312,什么人才她们上个月到底聘用了?,-
313,她们上个月究竟拉拢了什么民心?,+
314,什么民心她们上个月究竟拉拢了?,-
315,她们上个月到底走进了什么布景?,+
316,什么布景她们上个月到底走进了?,-
317,他们上个月到底强化了什么架构?,+
318,什么架构他们上个月到底强化了?,-
319,她们上个月究竟管理了什么队伍?,+
320,什么队伍她们上个月究竟管理了?,-
321,你们上个月究竟进入了什么选手?,+
322,什么选手你们上个月究竟进入了?,-
323,你昨天究竟摇身变成了什么国?,+
324,什么国你昨天究竟摇身变成了?,-
325,他们上个月究竟缴纳了什么保险?,+
326,什么保险他们上个月究竟缴纳了?,-
327,她们上个月究竟象征了什么领地?,+
328,什么领地她们上个月究竟象征了?,-
329,你们上个月到底开拓了什么市场?,+
330,什么市场你们上个月到底开拓了?,-
331,他上周究竟捆绑销售了什么浏览器?,+
332,什么浏览器他上周究竟捆绑销售了?,-
333,她们上个月究竟详见了什么案例?,+
334,什么案例她们上个月究竟详见了?,-
335,她们去年究竟聊起来了什么小盆友?,+
336,什么小盆友她们去年究竟聊起来了?,-
337,她们上个月到底引起了什么注意?,+
338,什么注意她们上个月到底引起了?,-
339,她们上个月到底加强了什么力量?,+
340,什么力量她们上个月到底加强了?,-
341,你们昨天究竟抵押抽空了什么资产?,+
342,什么资产你们昨天究竟抵押抽空了?,-
343,她们上个月到底巩固了什么邦谊?,+
344,什么邦谊她们上个月到底巩固了?,-
345,你们上个月究竟发表了什么声明?,+
346,什么声明你们上个月究竟发表了?,-
347,他们上个月到底架起了什么导弹?,+
348,什么导弹他们上个月到底架起了?,-
349,她们上个月到底认识了什么孩子?,+
350,什么孩子她们上个月到底认识了?,-
351,她们上个月到底开展了什么节能?,+
352,什么节能她们上个月到底开展了?,-
353,她们上个月究竟留给了什么子孙?,+
354,什么子孙她们上个月究竟留给了?,-
355,你们上个月到底抓住了什么机会?,+
356,什么机会你们上个月到底抓住了?,-
357,他们上个月到底逃避了什么责任?,+
358,什么责任他们上个月到底逃避了?,-
359,你们上个月到底享誉了什么乐坛?,+
360,什么乐坛你们上个月到底享誉了?,-
361,她们上个月究竟尊重了什么透明?,+
362,什么透明她们上个月究竟尊重了?,-
363,她们上个月究竟规范了什么内容?,+
364,什么内容她们上个月究竟规范了?,-
365,他们上个月到底保障了什么权益?,+
366,什么权益他们上个月到底保障了?,-
367,她们上个月到底吸收了什么文明?,+
368,什么文明她们上个月到底吸收了?,-
369,你去年究竟报名参加了什么运动会?,+
370,什么运动会你去年究竟报名参加了?,-
371,他们上个月到底采用了什么模块?,+
372,什么模块他们上个月到底采用了?,-
373,你们上个月到底纯属了什么私活?,+
374,什么私活你们上个月到底纯属了?,-
375,你们上个月究竟带离了什么现场?,+
376,什么现场你们上个月究竟带离了?,-
377,你们上个月到底争取了什么公益?,+
378,什么公益你们上个月到底争取了?,-
379,她们上个月到底怀念了什么先森?,+
380,什么先森她们上个月到底怀念了?,-
381,他们上个月究竟开发了什么新品?,+
382,什么新品他们上个月究竟开发了?,-
383,他们上个月究竟处以了什么重罚?,+
384,什么重罚他们上个月究竟处以了?,-
385,你们上个月到底搁置了什么争议?,+
386,什么争议你们上个月到底搁置了?,-
387,她们上个月究竟减轻了什么负担?,+
388,什么负担她们上个月究竟减轻了?,-
389,他们上个月究竟准备了什么考试?,+
390,什么考试他们上个月究竟准备了?,-
391,他们上个月究竟卷入了什么事件?,+
392,什么事件他们上个月究竟卷入了?,-
393,她们上个月究竟帮助了什么游客?,+
394,什么游客她们上个月究竟帮助了?,-
395,你上个月究竟教育成了什么普通人?,+
396,什么普通人你上个月究竟教育成了?,-
397,他们昨天究竟转变成了什么乙醇?,+
398,什么乙醇他们昨天究竟转变成了?,-
399,你上个月究竟制定实施了什么保险?,+
400,什么保险你上个月究竟制定实施了?,-
401,你们上个月究竟采取了什么行动?,+
402,什么行动你们上个月究竟采取了?,-
403,他们上个月到底产生了什么怀疑?,+
404,什么怀疑他们上个月到底产生了?,-
405,她们上个月究竟予以了什么公布?,+
406,什么公布她们上个月究竟予以了?,-
407,你们上个月究竟放松了什么心情?,+
408,什么心情你们上个月究竟放松了?,-
409,你们上个月究竟利用了什么核能?,+
410,什么核能你们上个月究竟利用了?,-
411,她们上周到底重视起了什么服饰?,+
412,什么服饰她们上周到底重视起了?,-
413,她们上个月到底进行了什么斡旋?,+
414,什么斡旋她们上个月到底进行了?,-
415,你们上个月究竟发展了什么经济?,+
416,什么经济你们上个月究竟发展了?,-
417,他们上个月到底搭乘了什么专机?,+
418,什么专机他们上个月到底搭乘了?,-
419,他们上个月究竟改变了什么事?,+
420,什么事他们上个月究竟改变了?,-
421,你们上个月究竟前往了什么炮群?,+
422,什么炮群你们上个月究竟前往了?,-
423,她们上个月究竟查处了什么货物?,+
424,什么货物她们上个月究竟查处了?,-
425,她们上个月究竟购买了什么贺卡?,+
426,什么贺卡她们上个月究竟购买了?,-
427,她们上个月究竟曝光了什么照片?,+
428,什么照片她们上个月究竟曝光了?,-
429,她们上个月到底自称了什么女儿?,+
430,什么女儿她们上个月到底自称了?,-
431,她们上个月究竟吸引了什么别人?,+
432,什么别人她们上个月究竟吸引了?,-
433,你们上个月到底辐射至了什么市场?,+
434,什么市场你们上个月到底辐射至了?,-
435,你们上个月究竟运输了什么黑枪?,+
436,什么黑枪你们上个月究竟运输了?,-
437,他们上个月到底走向了什么开放?,+
438,什么开放他们上个月到底走向了?,-
439,他们上个月到底讨论了什么问题?,+
440,什么问题他们上个月到底讨论了?,-
441,你们上个月到底搞好了什么关系?,+
442,什么关系你们上个月到底搞好了?,-
443,你们上个月究竟考虑了什么问题?,+
444,什么问题你们上个月究竟考虑了?,-
445,他们上个月到底追溯了什么历史?,+
446,什么历史他们上个月到底追溯了?,-
447,他们上个月到底注册了什么公司?,+
448,什么公司他们上个月到底注册了?,-
449,她们上个月究竟当做了什么利益?,+
450,什么利益她们上个月究竟当做了?,-
451,他们上个月到底投入了什么运行?,+
452,什么运行他们上个月到底投入了?,-
453,她们上个月究竟整顿了什么治安?,+
454,什么治安她们上个月究竟整顿了?,-
455,她们上个月究竟转变了什么理念?,+
456,什么理念她们上个月究竟转变了?,-
457,你们上个月究竟钻探了什么油气?,+
458,什么油气你们上个月究竟钻探了?,-
459,你们上个月究竟开採了什么油气田?,+
460,什么油气田你们上个月究竟开採了?,-
461,你们上个月究竟拨接了什么设备?,+
462,什么设备你们上个月究竟拨接了?,-
463,她们上个月究竟推反了什么政府?,+
464,什么政府她们上个月究竟推反了?,-
465,你们上个月到底涉入了什么事件?,+
466,什么事件你们上个月到底涉入了?,-
467,你们上个月到底庆赏了什么端阳?,+
468,什么端阳你们上个月到底庆赏了?,-
469,她们上个月到底传播了什么疟疾?,+
470,什么疟疾她们上个月到底传播了?,-
471,她们上个月到底标榜了什么女性?,+
472,什么女性她们上个月到底标榜了?,-
473,他们上个月究竟列入了什么考核?,+
474,什么考核他们上个月究竟列入了?,-
475,他们昨天究竟开除解雇了什么人员?,+
476,什么人员他们昨天究竟开除解雇了?,-
477,你们上个月到底夹起了什么尾巴?,+
478,什么尾巴你们上个月到底夹起了?,-
479,你昨天到底ｎｅｅｄ了什么医师?,+
480,什么医师你昨天到底ｎｅｅｄ了?,-
481,你们上个月究竟造成了什么假象?,+
482,什么假象你们上个月究竟造成了?,-
483,你上周究竟克扣挪用了什么工资?,+
484,什么工资你上周究竟克扣挪用了?,-
485,她们上个月到底满足了什么前者?,+
486,什么前者她们上个月到底满足了?,-
487,他们上个月到底查询了什么情况?,+
488,什么情况他们上个月到底查询了?,-
489,她们上个月到底熟悉了什么侨界?,+
490,什么侨界她们上个月到底熟悉了?,-
491,你昨天究竟散布张贴了什么宣传品?,+
492,什么宣传品你昨天究竟散布张贴了?,-
493,你们上个月究竟学习学习了什么星座?,+
494,什么星座你们上个月究竟学习学习了?,-
495,他们上个月究竟避免了什么拥堵?,+
496,什么拥堵他们上个月究竟避免了?,-
497,她们上个月到底勇夺了什么状元?,+
498,什么状元她们上个月到底勇夺了?,-
499,你们上个月究竟划成了什么民族?,+
500,什么民族你们上个月究竟划成了?,-
501,她们上个月到底融合成了什么一体?,+
502,什么一体她们上个月到底融合成了?,-
503,她们上个月究竟召开了什么会议?,+
504,什么会议她们上个月究竟召开了?,-
505,她们上个月到底站上了什么浪头?,+
506,什么浪头她们上个月到底站上了?,-
507,他们上个月究竟配合了什么建设?,+
508,什么建设他们上个月究竟配合了?,-
509,她们上个月到底选择了什么黄金?,+
510,什么黄金她们上个月到底选择了?,-
511,她们上个月到底加入了什么NGO?,+
512,什么NGO她们上个月到底加入了?,-
513,她昨天究竟跑步进入了什么社会主义?,+
514,什么社会主义她昨天究竟跑步进入了?,-
515,她们上个月究竟安置了什么移民?,+
516,什么移民她们上个月究竟安置了?,-
517,你们上个月究竟促进了什么提高?,+
518,什么提高你们上个月究竟促进了?,-
519,你们上个月到底推给了什么祖宗?,+
520,什么祖宗你们上个月到底推给了?,-
521,她们上个月究竟走进了什么剧场?,+
522,什么剧场她们上个月究竟走进了?,-
523,你们上个月究竟感染了什么病毒?,+
524,什么病毒你们上个月究竟感染了?,-
525,她们上个月究竟威胁了什么安全?,+
526,什么安全她们上个月究竟威胁了?,-
527,你们上个月究竟调解了什么冲突?,+
528,什么冲突你们上个月究竟调解了?,-
529,他们上个月究竟遏制了什么腐败?,+
530,什么腐败他们上个月究竟遏制了?,-
531,她们上周到底上诉至了什么法庭?,+
532,什么法庭她们上周到底上诉至了?,-
533,他们上个月究竟实现了什么发展?,+
534,什么发展他们上个月究竟实现了?,-
535,你们上个月到底重视了什么节日?,+
536,什么节日你们上个月到底重视了?,-
537,她们上个月究竟拉开了什么帷幕?,+
538,什么帷幕她们上个月究竟拉开了?,-
539,你们昨天究竟搭配演唱了什么歌?,+
540,什么歌你们昨天究竟搭配演唱了?,-
541,她们上个月到底推翻了什么政府?,+
542,什么政府她们上个月到底推翻了?,-
543,你昨天究竟贯彻执行了什么声明?,+
544,什么声明你昨天究竟贯彻执行了?,-
545,他们上个月到底涉及了什么运行?,+
546,什么运行他们上个月到底涉及了?,-
547,她们上个月到底报告了什么预算?,+
548,什么预算她们上个月到底报告了?,-
549,你们上个月究竟准备了什么汁?,+
550,什么汁你们上个月究竟准备了?,-
551,她们上个月到底设立了什么办事处?,+
552,什么办事处她们上个月到底设立了?,-
553,她们上个月到底考上了什么商研所?,+
554,什么商研所她们上个月到底考上了?,-
555,你们上个月究竟解散了什么国会?,+
556,什么国会你们上个月究竟解散了?,-
557,她们上个月究竟答复了什么日本人?,+
558,什么日本人她们上个月究竟答复了?,-
559,你们上个月到底壮大了什么翻身仗?,+
560,什么翻身仗你们上个月到底壮大了?,-
561,他们上个月究竟想想了什么办法?,+
562,什么办法他们上个月究竟想想了?,-
563,她们上个月究竟加以了什么强暴?,+
564,什么强暴她们上个月究竟加以了?,-
565,她们上个月到底危害了什么社会?,+
566,什么社会她们上个月到底危害了?,-
567,他们上个月到底占领了什么北?,+
568,什么北他们上个月到底占领了?,-
569,她们上个月到底扣除了什么费用?,+
570,什么费用她们上个月到底扣除了?,-
571,你们上个月到底服务了什么社会?,+
572,什么社会你们上个月到底服务了?,-
573,她们上个月究竟走向了什么深渊?,+
574,什么深渊她们上个月究竟走向了?,-
575,他们上个月到底推进了什么发展?,+
576,什么发展他们上个月到底推进了?,-
577,你们上个月究竟消除了什么农药?,+
578,什么农药你们上个月究竟消除了?,-
579,她们上个月究竟提供了什么帮助?,+
580,什么帮助她们上个月究竟提供了?,-
581,她们上个月到底重开了什么谈判?,+
582,什么谈判她们上个月到底重开了?,-
583,你昨天究竟上台接受了什么被询?,+
584,什么被询你昨天究竟上台接受了?,-
585,她昨天到底投票赞成了什么救助站?,+
586,什么救助站她昨天到底投票赞成了?,-
587,他们上个月到底纠集了什么人?,+
588,什么人他们上个月到底纠集了?,-
589,他们上个月究竟取材自了什么网站?,+
590,什么网站他们上个月究竟取材自了?,-
591,你们上周究竟开祝寿送礼了什么风?,+
592,什么风你们上周究竟开祝寿送礼了?,-
593,他们上周到底投资兴建了什么基地?,+
594,什么基地他们上周到底投资兴建了?,-
595,他们上个月到底优化了什么结构?,+
596,什么结构他们上个月到底优化了?,-
597,她们去年究竟复职担任了什么法官?,+
598,什么法官她们去年究竟复职担任了?,-
599,你们上个月究竟检肃了什么流氓?,+
600,什么流氓你们上个月究竟检肃了?,-
601,他们上个月究竟兴建了什么国宅?,+
602,什么国宅他们上个月究竟兴建了?,-
603,他们上个月到底吸引了什么外资?,+
604,什么外资他们上个月到底吸引了?,-
605,你们去年到底想起来了什么饺子?,+
606,什么饺子你们去年到底想起来了?,-
607,他们上个月究竟印刷了什么人民币?,+
608,什么人民币他们上个月究竟印刷了?,-
609,你们上个月到底捅破了什么马蜂窝?,+
610,什么马蜂窝你们上个月到底捅破了?,-
611,他们上个月到底乘机赶往了什么灾区?,+
612,什么灾区他们上个月到底乘机赶往了?,-
613,她们上个月到底制造了什么麻烦?,+
614,什么麻烦她们上个月到底制造了?,-
615,你们上个月究竟抗击了什么强敌?,+
616,什么强敌你们上个月究竟抗击了?,-
617,你们上个月究竟扭送了什么警局?,+
618,什么警局你们上个月究竟扭送了?,-
619,她昨天到底google了什么意见?,+
620,什么意见她昨天到底google了?,-
621,她们上个月究竟发表了什么讲话?,+
622,什么讲话她们上个月究竟发表了?,-
623,她们上个月究竟攻击了什么后方?,+
624,什么后方她们上个月究竟攻击了?,-
625,他们上个月到底拉大了什么差距?,+
626,什么差距他们上个月到底拉大了?,-
627,她们上个月究竟打击了什么犯罪?,+
628,什么犯罪她们上个月究竟打击了?,-
629,他们上个月到底看待了什么问题?,+
630,什么问题他们上个月到底看待了?,-
631,她们上个月究竟交流了什么信息?,+
632,什么信息她们上个月究竟交流了?,-
633,他们上个月到底培养了什么富翁?,+
634,什么富翁他们上个月到底培养了?,-
635,你们上个月究竟给予了什么赔偿?,+
636,什么赔偿你们上个月究竟给予了?,-
637,你们上个月到底寻找了什么学徒?,+
638,什么学徒你们上个月到底寻找了?,-
639,她们上个月到底辅导了什么产业?,+
640,什么产业她们上个月到底辅导了?,-
641,他们上个月到底预约了什么首?,+
642,什么首他们上个月到底预约了?,-
643,你们上个月到底前来参加了什么会谈?,+
644,什么会谈你们上个月到底前来参加了?,-
645,你们上个月究竟吃吃了什么东西?,+
